step,loss_train,loss_test,score
100.0,0.689098060131073,0.6890956163406372,0.5515544062321257
300.0,0.6502214670181274,0.6503693461418152,0.6784445464871789
500.0,0.6023369431495667,0.6160723567008972,0.7478389765650805
700.0,0.8575440049171448,0.8786312341690063,0.7399360353175275
900.0,1.0522162914276123,1.0785387754440308,0.7374789536860252
1100.0,1.091040015220642,1.1208103895187378,0.7361174887820126
1300.0,1.2078624963760376,1.241585373878479,0.7331206547921147
1500.0,1.3228257894515991,1.3632856607437134,0.7329111986530359
1700.0,1.323175311088562,1.3641409873962402,0.7334187269900347
1900.0,1.3033525943756104,1.334746479988098,0.7266677945074156
2100.0,1.4000952243804932,1.4359227418899536,0.7233003842714552
2300.0,1.3499912023544312,1.385148525238037,0.722003367410236
2500.0,1.5729227066040041,1.6137845516204834,0.729350444288695
2700.0,1.6078808307647705,1.6522166728973389,0.7266436264913679
2900.0,1.6291985511779783,1.6749297380447388,0.7227284078916628
3100.0,1.3806062936782837,1.4160568714141846,0.7233970563356454
3300.0,1.5019004344940186,1.5399197340011597,0.7325889584390683
3500.0,1.6156831979751587,1.6572924852371216,0.7285367877484271
3700.0,1.6900079250335691,1.7357542514801023,0.7277634112349051
3900.0,1.7950669527053833,1.846129894256592,0.7277392432188575
4100.0,1.8483761548995967,1.902008295059204,0.7274733950423343
4300.0,1.884591579437256,1.9376283884048464,0.7286737398393632
4500.0,1.9176743030548096,1.9692671298980715,0.7269094746678911
4700.0,1.3879796266555786,1.4250442981719968,0.7260313700848298
4900.0,1.489745855331421,1.5315008163452148,0.7298579726256939
5100.0,1.729743480682373,1.7693002223968506,0.7285206757377287
5300.0,1.7620724439620972,1.8099918365478516,0.7225753437900283
5500.0,1.5792754888534546,1.6223387718200684,0.7275620111011754
5700.0,1.6984601020812988,1.7421047687530518,0.7266114024699712
5900.0,1.8297547101974487,1.8771957159042358,0.72771507520281
6100.0,1.9060384035110474,1.9573622941970825,0.7273606109674456
6300.0,1.956264615058899,2.0111753940582275,0.7273847789834933
